Name,Status,Link,Presentation,Availability,Related,Reason
Cefotaxime Sodium Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefotaxime Sodium Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefotaxime Sodium Injection detail"">Cefotaxime Sodium Injection</a>","1g/vial, (NDC 21586-011-2)",Available,"Apollo in conjunction with FDA has initiated a temporary importation of Cefotaxime sodium for Injection, BP into the U.S. market to address drug shortage. To place an order, please contact FFF Enterprises at 1-800-843-7477
    
        Dear Healthcare Professional Letter",Other
Cefotetan Disodium Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefotetan Disodium Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefotetan Disodium Injection detail"">Cefotetan Disodium Injection</a>",1 gram/50 mL in DUPLEX (NDC 00264-3173-11),Product not available,,Other
Cefotetan Disodium Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefotetan Disodium Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefotetan Disodium Injection detail"">Cefotetan Disodium Injection</a>",2 gram/50 mL in DUPLEX (NDC 00264-3175-11),Product available,,Other
"Cefoxitin for Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefoxitin for Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefoxitin for Injection, USP detail"">Cefoxitin for Injection, USP</a>",1 g (25 vials) (NDC 60505-0759-05),Product is temporarily discontinued,Product manufactured by Hospira,Discontinuation of the manufacture of the drug
"Cefoxitin for Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefoxitin for Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefoxitin for Injection, USP detail"">Cefoxitin for Injection, USP</a>",2 g (25 vials) (NDC 60505-0760-05),Product is temporarily discontinued,Product manufactured by Hospira,Discontinuation of the manufacture of the drug
"Cefoxitin for Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefoxitin for Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefoxitin for Injection, USP detail"">Cefoxitin for Injection, USP</a>",10 g (10 vials) (NDC 60505-0761-04),Product is temporarily discontinued,Product manufactured by Hospira,Discontinuation of the manufacture of the drug
Chloroquine Phosphate Tablets,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Chloroquine Phosphate Tablets&amp;st=r&amp;tab=tabs-1"" title=""Link to Chloroquine Phosphate Tablets detail"">Chloroquine Phosphate Tablets</a>",,,,
Cisatracurium Besylate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cisatracurium Besylate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cisatracurium Besylate Injection detail"">Cisatracurium Besylate Injection</a>","Nimbex (cisatracurium besylate) Injection 2 mg/mL, 5 mL Single-dose vial (NDC 0074-4378-05 & 0074-4378-24)",Backordered. Next release May 2020,Please check with your wholesaler for available inventory,Demand increase for the drug
Cisatracurium Besylate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cisatracurium Besylate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cisatracurium Besylate Injection detail"">Cisatracurium Besylate Injection</a>","Nimbex (cisatracurium besylate) Injection 2 mg/mL, 10 mL Multiple-dose vial (NDC 0074-4380-10 & 0074-4380-79)",Backordered. Next release May 2020,Please check with your wholesaler for available inventory,Demand increase for the drug
Cisatracurium Besylate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cisatracurium Besylate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cisatracurium Besylate Injection detail"">Cisatracurium Besylate Injection</a>","Nimbex (cisatracurium besylate) Injection 10 mg/mL, 20 mL Single-dose vial (NDC 0074-4382-20 & 0074-4382-91)",Backordered. Next release May 2020,Please check with your wholesaler for available inventory,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>","PrismaSol BK0/0/1.2 Replacement Solution for Continuous Renal Replacement Therapy, NON-PVC. (NDC 24571-113-06)",Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>","PrismaSol BGK0/2.5 Replacement Solution for Continuous Renal Replacement Therapy, NON PVC. (NDC 24571-108-06)",Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>","PrismaSol BGK4/0/1.2 Replacement Solution for Continuous Renal Replacement Therapy, NON PVC. (DC 24571-114-06)",Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>","PrismaSol BGK4/2.5 Replacement Solution for Continuous Renal Replacement Therapy, NON PVC. (NDC 24571-105-06)",Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>","PrismaSol BGK2/3.5 Replacement Solution for Continuous Renal Replacement Therapy, NON PVC. (NDC 24571-103-06)",Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>","PrismaSol BGK2/0 Replacement Solution for Continuous Renal Replacement Therapy, NON PVC. (NDC 24571-102-06)",Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>","PrismaSol B22GK4/0 Replacement Solution for Continuous Renal Replacement Therapy, NON PVC. (NDC 24571-111-06)",Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>",PHOXILLUM BK4/2.5 Replacement Solution for Continuous Renal Replacement Therapy (NDC 24571-116-06),Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Continuous Renal Replacement Therapy (CRRT) Solutions,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Continuous Renal Replacement Therapy (CRRT) Solutions&amp;st=c&amp;tab=tabs-1"" title=""Link to Continuous Renal Replacement Therapy (CRRT) Solutions detail"">Continuous Renal Replacement Therapy (CRRT) Solutions</a>",PHOXILLUM B22K4/0 Replacement Solution for Continuous Renal Replacement Therapy (NDC 24571-117-06),Available - backorders due to COVID-19-related demand,,Demand increase for the drug
Cysteine Hydrochloride Injection,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cysteine Hydrochloride Injection&amp;st=r&amp;tab=tabs-1"" title=""Link to Cysteine Hydrochloride Injection detail"">Cysteine Hydrochloride Injection</a>",,,,
"Deferoxamine Mesylate for Injection, USP",Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Deferoxamine Mesylate for Injection, USP&amp;st=r&amp;tab=tabs-1"" title=""Link to Deferoxamine Mesylate for Injection, USP detail"">Deferoxamine Mesylate for Injection, USP</a>",,,,
Dexamethasone Sodium Phosphate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dexamethasone Sodium Phosphate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dexamethasone Sodium Phosphate Injection detail"">Dexamethasone Sodium Phosphate Injection</a>",4 mg/1 mL SDV (NDC 55150-237-01),Backordered — next shipment anticipated late April 2020.,Intermittent availability expected.,Other
Dexamethasone Sodium Phosphate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dexamethasone Sodium Phosphate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dexamethasone Sodium Phosphate Injection detail"">Dexamethasone Sodium Phosphate Injection</a>",20 mg/5 mL MDV  (NDC 55150-238-05),Backordered — next shipment anticipated mid- May 2020.,Intermittent availability expected.,Other
Dexamethasone Sodium Phosphate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dexamethasone Sodium Phosphate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dexamethasone Sodium Phosphate Injection detail"">Dexamethasone Sodium Phosphate Injection</a>",120 mg/30 mL MDV (NDC 55150-239-30),Backordered — next shipment anticipated late April 2020.,Intermittent availability expected.,Other
Dexmedetomidine Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dexmedetomidine Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dexmedetomidine Injection detail"">Dexmedetomidine Injection</a>","200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 16729-239-93)",Experiencing resource constraints and interruption within the supply chain due to the impact of COVID-19. Esimated Availability: late June 2020,,Demand increase for the drug
Dexmedetomidine Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dexmedetomidine Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dexmedetomidine Injection detail"">Dexmedetomidine Injection</a>","200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 16729-432-93), Novaplus",Experiencing resource constraints and interruption within the supply chain due to the impact of COVID-19. Esimated Availability: late June 2020,,Demand increase for the drug
Dexrazoxane Injection,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dexrazoxane Injection&amp;st=r&amp;tab=tabs-1"" title=""Link to Dexrazoxane Injection detail"">Dexrazoxane Injection</a>",,,,
Dextrose 25% Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dextrose 25per Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dextrose 25% Injection detail"">Dextrose 25% Injection</a>",250 mg/mL (25%); Ansyr Plastic Syringe (NDC 0409-1775-10),Limited Supply Available. Next Delivery and Estimated Recovery: August 2020,"Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay
    
        Dear Valued Customer Emergency Syringe Portfolio Update",Other
Dextrose 5% Injection Bags,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dextrose 5per Injection Bags&amp;st=r&amp;tab=tabs-1"" title=""Link to Dextrose 5% Injection Bags detail"">Dextrose 5% Injection Bags</a>",,,,
Dextrose 50% Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dextrose 50per Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dextrose 50% Injection detail"">Dextrose 50% Injection</a>","DEXTROSE INJECTION, USP, 50%, [500 mg / mL](NDC 76329-3301-1)",Intermittent supply,"IMS is releasing product, but market demand continues to exceed our capacity",Demand increase for the drug
"Diazepam Injection, USP",Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Diazepam Injection, USP&amp;st=r&amp;tab=tabs-1"" title=""Link to Diazepam Injection, USP detail"">Diazepam Injection, USP</a>",,,,
Dicyclomine Oral Tablets/Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dicyclomine Oral Tablets/Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Dicyclomine Oral Tablets/Capsules detail"">Dicyclomine Oral Tablets/Capsules</a>","Dicyclomine HCl Caps, USP, 10mg 1000s (NDC 0143-3126-10)",Available,,
Dicyclomine Oral Tablets/Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dicyclomine Oral Tablets/Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Dicyclomine Oral Tablets/Capsules detail"">Dicyclomine Oral Tablets/Capsules</a>","Dicyclomine HCl Caps, USP, 10mg 100s (NDC 0143-3126-01)",Available,,
Dicyclomine Oral Tablets/Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dicyclomine Oral Tablets/Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Dicyclomine Oral Tablets/Capsules detail"">Dicyclomine Oral Tablets/Capsules</a>","Dicyclomine HCl Tabs, USP, 20mg 1000s (NDC 0143-1227-10)",Available,,
Dicyclomine Oral Tablets/Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dicyclomine Oral Tablets/Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Dicyclomine Oral Tablets/Capsules detail"">Dicyclomine Oral Tablets/Capsules</a>","Dicyclomine HCl Tabs, USP, 20mg 100s (NDC 0143-1227-01)",Available,,
Difluprednate (Durezol) Ophthalmic Emulsion,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Difluprednate (Durezol) Ophthalmic Emulsion&amp;st=r&amp;tab=tabs-1"" title=""Link to Difluprednate (Durezol) Ophthalmic Emulsion detail"">Difluprednate (Durezol) Ophthalmic Emulsion</a>",,,,
Diltiazem Hydrochloride,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Diltiazem Hydrochloride&amp;st=c&amp;tab=tabs-1"" title=""Link to Diltiazem Hydrochloride detail"">Diltiazem Hydrochloride</a>","Diltiazem HCl Injection 5 mg / mL, 10 mL, 10 vials (NDC 17478-0937-10)",Backorder. Estimated recovery March 2020.,,Demand increase for the drug
Diltiazem Hydrochloride,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Diltiazem Hydrochloride&amp;st=c&amp;tab=tabs-1"" title=""Link to Diltiazem Hydrochloride detail"">Diltiazem Hydrochloride</a>","Diltiazem HCl Injection 5 mg / mL, 25 mL, 1 vial (NDC 17478-0937-25)",Backorder. Estimated recovery March 2020.,,Demand increase for the drug
Diltiazem Hydrochloride,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Diltiazem Hydrochloride&amp;st=c&amp;tab=tabs-1"" title=""Link to Diltiazem Hydrochloride detail"">Diltiazem Hydrochloride</a>","Diltiazem HCl Injection 5 mg / mL, 25 mL, 10 vials (NDC 17478-0937-26)",Backorder. Estimated recovery March 2020,,Demand increase for the drug
Diltiazem Hydrochloride,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Diltiazem Hydrochloride&amp;st=c&amp;tab=tabs-1"" title=""Link to Diltiazem Hydrochloride detail"">Diltiazem Hydrochloride</a>","Diltiazem HCl Injection 5 mg / mL, 5 mL, 10 vials (NDC 17478-0937-05)",Backorder. Estimated recovery March 2020.,,Demand increase for the drug
Diltiazem Hydrochloride ER (Twice-a-Day) Capsules,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Diltiazem Hydrochloride ER (Twice-a-Day) Capsules&amp;st=r&amp;tab=tabs-1"" title=""Link to Diltiazem Hydrochloride ER (Twice-a-Day) Capsules detail"">Diltiazem Hydrochloride ER (Twice-a-Day) Capsules</a>",,,,
Dimercaprol (Bal in Oil) Injection USP,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dimercaprol (Bal in Oil) Injection USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Dimercaprol (Bal in Oil) Injection USP detail"">Dimercaprol (Bal in Oil) Injection USP</a>","3 mL (100 mg/mL) ampules, box of 10 (NDC 17478-526-03)",Product is currently on backorder. Estimated shortage duration is until August 2020.,Estimated recovery 3Q2020,Regulatory delay
Diphenhydramine Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Diphenhydramine Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Diphenhydramine Injection detail"">Diphenhydramine Injection</a>","50 mg per vial, Single dose, Amber vial (NDC 63323-664-01)",Available,Check wholesalers for inventory,Demand increase for the drug
Disulfiram Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Disulfiram Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Disulfiram Tablets detail"">Disulfiram Tablets</a>","250 mg, 30 count (NDC 47781-607-30)",Available,,
Dobutamine Hydrochloride Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dobutamine Hydrochloride Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dobutamine Hydrochloride Injection detail"">Dobutamine Hydrochloride Injection</a>","250 mg/250 mL (NDC 0338-1073-02) Product code 2B0791, 500 mg/250 mL (NDC 0338-1075-02) Product code 2B0792, 1000 mg/250 mL (NDC 0338-1077-02) Product code 2B0793",Available,,
Dopamine Hydrochloride Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dopamine Hydrochloride Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Dopamine Hydrochloride Injection detail"">Dopamine Hydrochloride Injection</a>","800 mcg/mL (250 mL bag) Product code 2B0832 (NDC 0338-1005-02), 800 mcg/mL (500 mL bag)  Product code 2B0833 (NDC 0338-1005-03), 1600 mcg/mL (250 mL bag) Product code 2B0842 (NDC 0338-1007-02), 1600 mcg/mL (500 mL bag) Product code 2B0843 (NDC 0338-1007-03), 3200 mcg/mL (250 mL bag) Product code 2B0846 (NDC 0338-1009-02)",Available,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution&amp;st=c&amp;tab=tabs-1"" title=""Link to Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution detail"">Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution</a>","Cosopt® dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 17478-605-10)",Available,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution&amp;st=c&amp;tab=tabs-1"" title=""Link to Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution detail"">Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution</a>","Dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 50383-233-10)","Limit availability / Recovery expected Q1, 2020","Manufacturer interruption production issues.  Marketed by Hi-Tech Pharmacal Co., Inc. To order, contact Akorn Customer Service (1-800-932-5676)",Other
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution&amp;st=c&amp;tab=tabs-1"" title=""Link to Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution detail"">Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution</a>","Cosopt-PF® dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 0.2 mL single use, 60 count (NDC 17478-604-30)",Available,"Marketed by Akorn, Inc. To order, contact Akorn Customer Service (1-800-932-5676)",Other
Dorzolamide Hydrochloride Ophthalmic Solution,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Dorzolamide Hydrochloride Ophthalmic Solution&amp;st=c&amp;tab=tabs-1"" title=""Link to Dorzolamide Hydrochloride Ophthalmic Solution detail"">Dorzolamide Hydrochloride Ophthalmic Solution</a>","Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 50383-232-10)","Limit availability / Recovery expected Q1, 2020","Manufacturer interruption production issues. Distributed by Hi-Tech Pharmacal Co., Inc. To order, contact Akorn Customer Service (1-800-932-5676)",Other
Echothiophate Iodide (Phospholine Iodide) Ophthalmic Solution,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Echothiophate Iodide (Phospholine Iodide) Ophthalmic Solution&amp;st=c&amp;tab=tabs-1"" title=""Link to Echothiophate Iodide (Phospholine Iodide) Ophthalmic Solution detail"">Echothiophate Iodide (Phospholine Iodide) Ophthalmic Solution</a>",6.25 mg package for 0.125% (NDC 0046-1065-05),Next delivery and Estimated recovery: June 2020,Shortage per manufacturer: Manufacturing Delay,Other
"Enalaprilat Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Enalaprilat Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Enalaprilat Injection, USP detail"">Enalaprilat Injection, USP</a>","2.5mg/2mL, vial (NDC 0143-9786-10)",Inventory is currently available.,Additional lots will be scheduled for manufacturing Product will be made available as it is released.,Demand increase for the drug
"Enalaprilat Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Enalaprilat Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Enalaprilat Injection, USP detail"">Enalaprilat Injection, USP</a>","1.25mg/mL, vial  (NDC 0143-9787-10)",Inventory is currently available.,Additional lots will be scheduled for manufacturing Product will be made available as it is released.,Demand increase for the drug
"Epinephrine Injection, 0.1 mg/mL",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Epinephrine Injection, 0.1 mg/mL&amp;st=c&amp;tab=tabs-1"" title=""Link to Epinephrine Injection, 0.1 mg/mL detail"">Epinephrine Injection, 0.1 mg/mL</a>","1:10,000, 10mL Luer-Jet Prefilled Syringe
(NDC 76329-3316-1)(old NDC 0548-3316-00)",Intermittent supply,"IMS is releasing product, but market demand continues to exceed our capacity",Demand increase for the drug
"Epinephrine Injection, Auto-Injector",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Epinephrine Injection, Auto-Injector&amp;st=c&amp;tab=tabs-1"" title=""Link to Epinephrine Injection, Auto-Injector detail"">Epinephrine Injection, Auto-Injector</a>","Carton containing two SYMJEPI (epinephrine injection, USP) 0.3 mg single-dose, pre-filled syringes (NDC 0781-3442-20)",Available,,
"Epinephrine Injection, Auto-Injector",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Epinephrine Injection, Auto-Injector&amp;st=c&amp;tab=tabs-1"" title=""Link to Epinephrine Injection, Auto-Injector detail"">Epinephrine Injection, Auto-Injector</a>","Carton containing two SYMJEPI (epinephrine injection, USP) 0.15 mg single-dose, pre-filled syringes (NDC 0781-3448-20)",Available,,
"Erythromycin Lactobionate for Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Erythromycin Lactobionate for Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Erythromycin Lactobionate for Injection, USP detail"">Erythromycin Lactobionate for Injection, USP</a>",500 mg Single Dose Glass Fliptop Vial (NDC 00409-6482-01),Available,,Other
"Erythromycin Lactobionate for Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Erythromycin Lactobionate for Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Erythromycin Lactobionate for Injection, USP detail"">Erythromycin Lactobionate for Injection, USP</a>",500 mg Single-dose ADD-Vantage® Vial (NDC 00409-6476-44),Available,,Other
Erythromycin Ophthalmic Ointment,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Erythromycin Ophthalmic Ointment&amp;st=c&amp;tab=tabs-1"" title=""Link to Erythromycin Ophthalmic Ointment detail"">Erythromycin Ophthalmic Ointment</a>",Erythromycin Ophthalmic Ointment 0.5%: 3.5 g tube (NDC 17478-070-35),Limited availability.,"Expected availability Dec, 2019",Requirements related to complying with good manufacturing practices
Erythromycin Ophthalmic Ointment,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Erythromycin Ophthalmic Ointment&amp;st=c&amp;tab=tabs-1"" title=""Link to Erythromycin Ophthalmic Ointment detail"">Erythromycin Ophthalmic Ointment</a>",Erythromycin Ophthalmic Ointment 0.5%: 1 g  tube (unit dose) (NDC17478-070-01),On backorder,"Expected availability Oct 1, 2019",Requirements related to complying with good manufacturing practices
Erythromycin Ophthalmic Ointment,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Erythromycin Ophthalmic Ointment&amp;st=c&amp;tab=tabs-1"" title=""Link to Erythromycin Ophthalmic Ointment detail"">Erythromycin Ophthalmic Ointment</a>",Erythromycin Ophthalmic Ointment 0.5%: 3.5 g tube (NDC 17478-824-35)(Premier),No longer distributing,,
Erythromycin Ophthalmic Ointment,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Erythromycin Ophthalmic Ointment&amp;st=c&amp;tab=tabs-1"" title=""Link to Erythromycin Ophthalmic Ointment detail"">Erythromycin Ophthalmic Ointment</a>",Erythromycin Ophthalmic Ointment 0.5%: 1 g  tube (unit dose) (NDC 17478-824-01)(Premier),No longer distributing,,
Ethiodized Oil (Lipiodol) Injection,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Ethiodized Oil (Lipiodol) Injection&amp;st=r&amp;tab=tabs-1"" title=""Link to Ethiodized Oil (Lipiodol) Injection detail"">Ethiodized Oil (Lipiodol) Injection</a>",,,,
Etomidate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Etomidate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Etomidate Injection detail"">Etomidate Injection</a>","2 mg/mL, 10 mL vial (NDC 55150-221-10)",Currently backordered,"Present shipment 2nd week of May 2020, next shipment mid- to late-June 2020",Demand increase for the drug
